ctg_name,ctg_type,num_tasks,num_branches,num_conditional_points,network,branch_name,heft_makespan,overlapping_makespan,makespan_ratio,overhead
ctg0,basic,4,2,1,simple_2node,Path: B,7.000000002,7.0,0.9999999997142857,-2.000000165480742e-09
ctg0,basic,4,2,1,simple_2node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg0,basic,4,2,1,simple_3node,Path: B,7.000000002,7.0,0.9999999997142857,-2.000000165480742e-09
ctg0,basic,4,2,1,simple_3node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg0,basic,4,2,1,heterogeneous,Path: B,3.500000002,3.5,0.9999999994285714,-2.000000165480742e-09
ctg0,basic,4,2,1,heterogeneous,Path: C,4.000000002,4.0,0.9999999995,-2.000000165480742e-09
ctg1,mixed,5,2,1,simple_2node,Path: B,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg1,mixed,5,2,1,simple_2node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg1,mixed,5,2,1,simple_3node,Path: B,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg1,mixed,5,2,1,simple_3node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg1,mixed,5,2,1,heterogeneous,Path: B,4.000000002,5.0,1.249999999375,0.9999999979999998
ctg1,mixed,5,2,1,heterogeneous,Path: C,5.5,5.5,1.0,0.0
ctg2,nested,7,3,2,simple_2node,Path: B-D,11.000000004,11.0,0.9999999996363637,-4.000000330961484e-09
ctg2,nested,7,3,2,simple_2node,Path: B-E,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg2,nested,7,3,2,simple_2node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg2,nested,7,3,2,simple_3node,Path: B-D,11.000000004,11.0,0.9999999996363637,-4.000000330961484e-09
ctg2,nested,7,3,2,simple_3node,Path: B-E,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg2,nested,7,3,2,simple_3node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg2,nested,7,3,2,heterogeneous,Path: B-D,5.500000004,5.5,0.9999999992727272,-4.000000330961484e-09
ctg2,nested,7,3,2,heterogeneous,Path: B-E,5.000000003,5.0,0.9999999994,-3.000000248221113e-09
ctg2,nested,7,3,2,heterogeneous,Path: C,4.000000002,4.0,0.9999999995,-2.000000165480742e-09
ctg3,symmetric_nested,9,4,3,simple_2node,Path: B-D,11.000000004,13.0,1.1818181813884296,1.9999999959999997
ctg3,symmetric_nested,9,4,3,simple_2node,Path: B-E,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,simple_2node,Path: C-F,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,simple_2node,Path: C-G,11.000000003,11.0,0.9999999997272727,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,simple_3node,Path: B-D,11.000000004,13.0,1.1818181813884296,1.9999999959999997
ctg3,symmetric_nested,9,4,3,simple_3node,Path: B-E,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,simple_3node,Path: C-F,10.000000003,10.0,0.9999999997,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,simple_3node,Path: C-G,11.000000003,11.0,0.9999999997272727,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,heterogeneous,Path: B-D,5.500000004,5.5,0.9999999992727272,-4.000000330961484e-09
ctg3,symmetric_nested,9,4,3,heterogeneous,Path: B-E,5.000000003,5.0,0.9999999994,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,heterogeneous,Path: C-F,5.000000003,5.0,0.9999999994,-3.000000248221113e-09
ctg3,symmetric_nested,9,4,3,heterogeneous,Path: C-G,5.500000003,5.5,0.9999999994545454,-3.000000248221113e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: B-D-J,14.000000005,16.0,1.1428571424489795,1.9999999949999996
ctg4,post_convergence,11,8,4,simple_2node,Path: B-D-K,13.000000005,15.0,1.1538461534023667,1.9999999949999996
ctg4,post_convergence,11,8,4,simple_2node,Path: B-E-J,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: B-E-K,12.000000004,12.0,0.9999999996666666,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: C-F-J,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: C-F-K,12.000000004,12.0,0.9999999996666666,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: C-G-J,14.000000004,14.0,0.9999999997142857,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_2node,Path: C-G-K,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: B-D-J,14.000000005,16.0,1.1428571424489795,1.9999999949999996
ctg4,post_convergence,11,8,4,simple_3node,Path: B-D-K,13.000000005,15.0,1.1538461534023667,1.9999999949999996
ctg4,post_convergence,11,8,4,simple_3node,Path: B-E-J,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: B-E-K,12.000000004,12.0,0.9999999996666666,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: C-F-J,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: C-F-K,12.000000004,12.0,0.9999999996666666,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: C-G-J,14.000000004,14.0,0.9999999997142857,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,simple_3node,Path: C-G-K,13.000000004,13.0,0.9999999996923077,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: B-D-J,7.000000005,7.0,0.9999999992857143,-5.000000413701855e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: B-D-K,6.500000005,6.5,0.9999999992307692,-5.000000413701855e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: B-E-J,6.500000004,6.5,0.9999999993846154,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: B-E-K,6.000000004,6.0,0.9999999993333333,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: C-F-J,6.500000004,6.5,0.9999999993846154,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: C-F-K,6.000000004,6.0,0.9999999993333333,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: C-G-J,7.000000004,7.0,0.9999999994285714,-4.000000330961484e-09
ctg4,post_convergence,11,8,4,heterogeneous,Path: C-G-K,6.500000004,6.5,0.9999999993846154,-4.000000330961484e-09
ctg5,multi_branch,6,4,1,simple_2node,Path: B,7.000000002,7.0,0.9999999997142857,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_2node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_2node,Path: D,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_2node,Path: E,9.000000002,9.0,0.9999999997777778,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_3node,Path: B,7.000000002,7.0,0.9999999997142857,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_3node,Path: C,8.000000002,8.0,0.99999999975,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_3node,Path: D,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,simple_3node,Path: E,9.000000002,9.0,0.9999999997777778,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,heterogeneous,Path: B,3.500000002,3.5,0.9999999994285714,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,heterogeneous,Path: C,4.000000002,4.0,0.9999999995,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,heterogeneous,Path: D,3.000000002,3.0,0.9999999993333333,-2.000000165480742e-09
ctg5,multi_branch,6,4,1,heterogeneous,Path: E,4.500000002,4.5,0.9999999995555555,-2.000000165480742e-09
ctg6,deep_chain,8,2,1,simple_2node,Path: D,15.000000006,15.0,0.9999999996,-6.000000496442226e-09
ctg6,deep_chain,8,2,1,simple_2node,Path: E,16.000000006,16.0,0.999999999625,-6.000000496442226e-09
ctg6,deep_chain,8,2,1,simple_3node,Path: D,15.000000006,15.0,0.9999999996,-6.000000496442226e-09
ctg6,deep_chain,8,2,1,simple_3node,Path: E,16.000000006,16.0,0.999999999625,-6.000000496442226e-09
ctg6,deep_chain,8,2,1,heterogeneous,Path: D,7.5000000060000005,7.5,0.9999999991999999,-6.000000496442226e-09
ctg6,deep_chain,8,2,1,heterogeneous,Path: E,8.000000006,8.0,0.9999999992499999,-6.000000496442226e-09
ctg7,imbalanced,7,2,1,simple_2node,Path: B,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg7,imbalanced,7,2,1,simple_2node,Path: C,12.000000005,12.0,0.9999999995833333,-5.000000413701855e-09
ctg7,imbalanced,7,2,1,simple_3node,Path: B,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg7,imbalanced,7,2,1,simple_3node,Path: C,12.000000005,12.0,0.9999999995833333,-5.000000413701855e-09
ctg7,imbalanced,7,2,1,heterogeneous,Path: B,3.000000002,3.0,0.9999999993333333,-2.000000165480742e-09
ctg7,imbalanced,7,2,1,heterogeneous,Path: C,6.000000005,6.0,0.9999999991666666,-5.000000413701855e-09
ctg8,wide_fanout,8,2,1,simple_2node,Path: B,10.000000002,10.0,0.9999999998,-2.000000165480742e-09
ctg8,wide_fanout,8,2,1,simple_2node,Path: C,11.000000002,11.0,0.9999999998181818,-2.000000165480742e-09
ctg8,wide_fanout,8,2,1,simple_3node,Path: B,10.000000002,11.0,1.09999999978,0.9999999979999998
ctg8,wide_fanout,8,2,1,simple_3node,Path: C,11.000000002,12.0,1.0909090907107437,0.9999999979999998
ctg8,wide_fanout,8,2,1,heterogeneous,Path: B,5.500000003,4.5,0.8181818177355371,-1.0000000030000002
ctg8,wide_fanout,8,2,1,heterogeneous,Path: C,6.000000003,7.0,1.1666666660833334,0.9999999969999998
ctg9,heavy_conditional,4,2,1,simple_2node,Path: B,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg9,heavy_conditional,4,2,1,simple_2node,Path: C,24.000000002,24.0,0.9999999999166667,-2.000000165480742e-09
ctg9,heavy_conditional,4,2,1,simple_3node,Path: B,6.000000002,6.0,0.9999999996666666,-2.000000165480742e-09
ctg9,heavy_conditional,4,2,1,simple_3node,Path: C,24.000000002,24.0,0.9999999999166667,-2.000000165480742e-09
ctg9,heavy_conditional,4,2,1,heterogeneous,Path: B,3.000000002,3.0,0.9999999993333333,-2.000000165480742e-09
ctg9,heavy_conditional,4,2,1,heterogeneous,Path: C,12.000000002,12.0,0.9999999998333333,-2.000000165480742e-09
